Population,Variation,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
37953180,-0.7215838040448821,99238000000.0,1156000000.0,1368000000.0,55000000.0,1150000000.0,0.97,11.0,0.5934993490950321,1.4574812077436694
276102,2.5729621661559805,230000000.0,15000000.0,-166000000.0,15000000.0,13000000.0,0.0,4.0,17.444444444444443,20.666666666666668
10288527,-2.3111277250864077,12584000000.0,325000000.0,83000000.0,82000000.0,315000000.0,0.75,7.0,2.272882643372579,2.034941131788834
4596023,3.4727197840393744,2670000000.0,11000000.0,-8000000.0,4000000.0,11000000.0,-2.15,13.0,23.0,1103.0
51096415,2.0271011185422654,34733000000.0,854000000.0,174000000.0,137000000.0,854000000.0,0.28,8.0,8.889863842662633,12.354009077155824
4059684,-0.39717377017521055,7957000000.0,66000000.0,-46000000.0,16000000.0,66000000.0,0.0,19.0,0.21887623944179213,0.8703635695923614
10513104,5.537736523865836,15241000000.0,375000000.0,-117000000.0,42000000.0,371000000.0,0.21,5.0,3.187743190661479,8.063229571984436
25429825,2.474181399203496,14515000000.0,43000000.0,-8000000.0,0.0,41000000.0,-0.44,3.0,7.8203125,97.90625
54660339,13.91742008771662,45188000000.0,108000000.0,-7000000.0,2000000.0,103000000.0,-0.16,7.0,1.7114228456913827,31.95190380761523
19653969,-2.9179856750562694,51510000000.0,381000000.0,179000000.0,146000000.0,381000000.0,0.18,12.0,0.5102130878829908,1.298386079939478
66727460,3.3002139853635337,74136000000.0,2234000000.0,239000000.0,779000000.0,2131000000.0,0.0,-1.0,2.593886462882096,4.117562772925764
11980961,11.946353885969572,7847000000.0,19000000.0,-5000000.0,0.0,18000000.0,-0.11,6.0,10.807017543859649,152.49122807017545
180954,2.380715540966224,68000000.0,11000000.0,-241000000.0,10000000.0,10000000.0,0.85,7.0,2.888888888888889,2.6666666666666665
52045,4.146411759054666,28000000.0,4000000.0,-190000000.0,4000000.0,3000000.0,0.96,2.0,28.0,23.0
